case_number,date,time,primary_type,description,act_type,lat,lng,StationID
HV137164,2012-01-29,10:00:00 AM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56699244,76.86966363,-1
HV467373,2012-09-08,6:30:00 PM,ROAD ACCIDENTS,,RASH DRIVING ON PUBLIC WAY,28.56716898,76.86925429,-1
HV281341,2012-05-11,9:27:00 AM,ABDUCTION OR KIDNAPPING,,KIDNAPPING AND ABDUCTION OF WOMEN TO COMPEL HER FOR MARRIAGE,28.55508256,76.86888928,-1
HV206105,2012-03-20,12:01:00 AM,ROAD ACCIDENTS,,DEATHS DUE TO NEGLIGENCE RELATING TO ROAD ACCIDENTS,28.56666529,76.86904986,-1
HV470385,2012-09-10,10:40:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,THE EXCISE ACT,28.56705679,76.86889821,-1
HV212002,2012-03-23,11:50:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.5669243,76.86936561,-1
HV436468,2012-08-18,7:02:00 PM,ROAD ACCIDENTS,,RASH DRIVING ON PUBLIC WAY,28.56629845,76.86918002,-1
HV118360,2012-01-14,11:31:00 PM,ABDUCTION OR KIDNAPPING,,PROCURATION OF MINOR GIRLS,28.56673131,76.86889086,-1
HV447261,2012-08-26,1:36:00 AM,ARMS/EXPLOSIVE - RELATED ACTS,,THE EXPLOSIVE SUBSTANCES ACT,28.56694517,76.8690529,-1
HV132718,2012-01-26,10:40:00 AM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56683716,76.86899246,-1
HV134576,2012-01-27,4:00:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56673988,76.86936366,-1
HV114711,2012-01-12,2:26:00 AM,ROAD ACCIDENTS,,DEATHS DUE TO NEGLIGENCE RELATING TO ROAD ACCIDENTS,28.56540813,76.86883672,-1
HV126118,2012-01-21,1:00:00 AM,ENVIRONMENT AND POLLUTION - RELATED ACTS,,THE CIGARETTE AND OTHER TOBACCO PRODUCTS ACT,28.5667734,76.86929016,-1
HV465955,2012-09-07,7:50:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,THE EXCISE ACT,28.5700439,76.87012583,-1
HV222682,2012-03-31,4:22:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,PROHIBITION ACT (STATE),28.56466554,76.86543667,-1
HV266303,2012-05-01,1:15:00 PM,"DRUG SMUGGLING, POSSESION, SALE OR USE OF DRUGS",A crime happened here,PROHIBITION ACT (STATE),28.56633776,76.86906625,-1
HV270812,2012-05-03,2:30:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56662474,76.86923671,-1
HV484791,2012-09-20,10:30:00 AM,ROAD ACCIDENTS,,RASH DRIVING ON PUBLIC WAY,28.56656689,76.86959274,-1
HV117835,2012-01-14,3:00:00 PM,ASSAULT,,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,28.56629539,76.86896591,-1
HV147832,2012-02-02,7:00:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,BURGLARY,28.56631454,76.86895952,-1
HV130045,2012-01-24,7:00:00 AM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56642531,76.86919822,-1
HV199456,2012-03-13,8:30:00 PM,CHILD ABUSE,,THE PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT,28.56626918,76.86921537,-1
HV125831,2012-01-19,7:00:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56694583,76.86986901,-1
HV247767,2012-04-17,9:30:00 PM,ROAD ACCIDENTS,,DEATHS DUE TO NEGLIGENCE RELATING TO ROAD ACCIDENTS,28.566767,76.86987227,-1
HX433956,2012-09-18,9:41:00 PM,CULPABLE HOMICIDE AND GREVIOUS HURT,,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,28.56659483,76.86979295,-1
HV225973,2012-04-03,4:00:00 AM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56636741,76.86921443,-1
HV181159,2012-03-02,9:50:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,BURGLARY,28.57438821,76.87791575,-1
HV366892,2012-07-04,10:00:00 PM,ROAD ACCIDENTS,,RASH DRIVING ON PUBLIC WAY,28.56705359,76.86945505,-1
HV292103,2012-05-18,1:30:00 PM,ARMS/EXPLOSIVE - RELATED ACTS,,THE ARMS ACT,28.56632238,76.86912817,-1
HV137212,2012-01-29,3:00:00 AM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.57464809,76.87889483,-1
HV261667,2012-04-27,8:00:00 PM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56642147,76.86965154,-1
HV474187,2012-09-13,9:00:00 AM,ROAD ACCIDENTS,,RASH DRIVING ON PUBLIC WAY,28.57506088,76.86643175,-1
HV222513,2012-03-31,2:00:00 AM,"ROBBERY, THEFT, BURGLARY, DACOITY",,THEFT,28.56714484,76.87185888,-1
